cod,nome,lon,lat,tipo,area_km2
241009,PARNAÍBA_EM Profa Albertina Furtado Castelo Branco,-41.7378,-2.9169,pluviometrica,
241010,PARNAÍBA_Capitania dos Portos,-41.7722,-2.8978,pluviometrica,
241011,FAZENDA 2 IRMÃOS,-41.3475,-2.9372,pluviometrica,
242002,BARRO DURO,-42.3131,-2.9022,pluviometrica,
242003,MORRO ALTO,-42.9467,-2.97,pluviometrica,
244006,SÃO LUÍS,-44.35,-2.8833,pluviometrica,
244009,SÃO LUÍS (TIRIRICAL),-44.2333,-2.5833,pluviometrica,
244011,GUIMARÃES,-44.6069,-2.1294,pluviometrica,
244012,SÃO BENTO,-44.8233,-2.7011,pluviometrica,
244018,ALCANTARA_Centro,-44.414,-2.404,pluviometrica,
244019,ICATU_Jardim de Infância Pequeno Príncipe,-44.0654,-2.7752,pluviometrica,
244020,MIRINZAL_Hospital municipal de Mirinzal,-44.7838,-2.0668,pluviometrica,
244021,PAÇO DO LUMIAR_ProcuradoriaMunicipal,-44.1078,-2.5322,pluviometrica,
244022,PALMEIRANDIA_Prefeitura Municipal,-44.8924,-2.6446,pluviometrica,
244023,RAPOSA_Sítio da Raposa,-44.1292,-2.4444,pluviometrica,
244024,ROSARIO_PrefeituraMunicipal,-44.2452,-2.9373,pluviometrica,
244025,SÃO LUIS_FIEMA,-44.2472,-2.5211,pluviometrica,
244026,SÃO LUIS_Eletronorte,-44.2558,-2.5614,pluviometrica,
244027,SÃO LUIS_Centro de Empreendedorismo UFMA,-44.3117,-2.565,pluviometrica,
244028,SÃO LUIS_UEB Roseno de Jesus Mendes,-44.1903,-2.5928,pluviometrica,
244029,SÃO LUIS_SEMUSC,-44.2719,-2.5386,pluviometrica,
244030,SÃO LUIS_Acad. de Policia Militar Gonçalves Dias,-44.2744,-2.5003,pluviometrica,
244031,SÃO LUIS_SeminarioEvangelicodoNorte,-44.2242,-2.5528,pluviometrica,
244032,SÃO LUIS_Dest. de Controle do Esp. Aéreo São Luís,-44.2369,-2.5983,pluviometrica,
244033,SÃO LUIS_EletronorteSL2,-44.3186,-2.7153,pluviometrica,
244034,SÃO LUIS_EletronorteSL3,-44.1711,-2.5181,pluviometrica,
245001,ALTO TURI,-45.6647,-2.9539,pluviometrica,
245003,MARACACUME,-45.9583,-2.0522,pluviometrica,
245007,BR-316 / RIO PARUÁ,-45.7842,-2.5047,pluviometrica,
245008,PEDRO ROSÁRIO,-45.355,-2.9708,pluviometrica,
245009,PIMENTA,-45.3653,-2.5903,pluviometrica,
245010,PINHEIRO,-45.0856,-2.5153,pluviometrica,
245011,SANTA HELENA,-45.2711,-2.2739,pluviometrica,
245013,SANTA HELENA_Hospital Santa Helena,-45.3077,-2.243,pluviometrica,
245014,TURILÂNDIA_Centro,-45.3044,-2.2164,pluviometrica,
246002,SANTA MARIA DO GURUPI - CIGANA,-46.4356,-2.2353,pluviometrica,
246003,CENTRO DO GUILHERME_Creche Pro-Infancia Peq. Ppe.,-46.0349,-2.4493,pluviometrica,
247000,BADAJÓS,-47.7681,-2.5128,pluviometrica,
247003,FAZENDA JAUARÁ,-47.7506,-2.0356,pluviometrica,
247004,FAZENDA SÃO RAIMUNDO,-47.5161,-2.4261,pluviometrica,
247005,CAFEZAL,-46.8025,-2.7717,pluviometrica,
247006,PA-256 / RIO CAPIM,-47.8144,-2.9483,pluviometrica,
247007,PARAGOMINAS,-47.4667,-2.9833,pluviometrica,
247008,ACAMPAMENTO MENDES JUNIOR,-47.8469,-2.3433,pluviometrica,
248001,FAZENDA URUCURE,-48.5786,-2.4478,pluviometrica,
248003,TOMÉ-AÇU,-48.1489,-2.4208,pluviometrica,
248004,FAZENDA PORTO ALTO,-48.2167,-2.6333,pluviometrica,
248005,INATAM,-48.3667,-2.5167,pluviometrica,
248006,PA-256 / RIO ACARA-MIRIM,-48.3522,-2.7822,pluviometrica,
249001,CAMETÁ,-49.5,-2.25,pluviometrica,
249002,VILA ELIM,-49.3778,-2.8044,pluviometrica,
249003,BAIÃO,-49.6694,-2.785,pluviometrica,
249004,VILA DO CARMO,-49.4383,-2.4497,pluviometrica,
249005,BAIÃO_Centro,-49.6731,-2.7889,pluviometrica,
249108,CAMETÁ,-49.4961,-2.2467,pluviometrica,
249109,MOCAJUBA,-49.51,-2.5775,pluviometrica,
249110,VILA DO CARMO,-49.4417,-2.4497,pluviometrica,
250000,CIPOAL,-50.4536,-2.785,pluviometrica,
250001,VILA SÃO BENEDITO,-50.3686,-1.9917,pluviometrica,
250002,IRAPURU,-50.9228,-2.4533,pluviometrica,
250003,ACANGATA,-50.6297,-2.245,pluviometrica,
251000,MARACACUERA FLORESTAL,-51.1794,-2.245,pluviometrica,
251001,SENADOR JOSÉ PORFÍRIO,-51.9481,-2.5867,pluviometrica,
252001,ITAPÉUA DO PARÁ,-52.9186,-2.3364,pluviometrica,
253000,SANTA CRUZ,-53.5994,-1.1789,pluviometrica,
254000,SANTARÉM,-54.7025,-2.4433,pluviometrica,
254002,MONTE ALEGRE,-54.0764,-2.0022,pluviometrica,
254003,BELTERRA,-54.9439,-2.6422,pluviometrica,
254004,SANTARÉM,-54.7833,-2.4167,pluviometrica,
254009,UHE CURUÁ-UNA JUSANTE,-54.2994,-2.8094,pluviometrica,
254010,BOA VISTA (Paraná do Rio Amazonas),-54.5244,-2.2628,pluviometrica,
254011,KM - 1707/BR 163,-54.8189,-2.65,pluviometrica,
254012,UHE CURUÁ-UNA BARRAMENTO,-54.2997,-2.8156,pluviometrica,
254013,UHE CURUÁ-UNA RIO MOJUÍ,-54.755,-2.8839,pluviometrica,
255000,CURUAI,-55.4806,-2.2683,pluviometrica,
255001,CACHOEIRA DO ARUÃ,-55.7206,-2.6508,pluviometrica,
255002,SÃO JOSÉ,-55.3742,-2.5644,pluviometrica,
256000,PARINTINS,-56.7333,-2.6333,pluviometrica,
256001,JURUTI,-56.0875,-2.1522,pluviometrica,
256002,NHAMUNDÁ,-56.7106,-2.1897,pluviometrica,
257000,URUCARA,-57.7581,-2.5378,pluviometrica,
257001,BARREIRINHA,-57.0644,-2.7922,pluviometrica,
257002,BOA VISTA DO RAMOS,-57.59,-2.9703,pluviometrica,
257003,MOCAMBO,-57.2825,-2.4556,pluviometrica,
258001,SANTA LUZIA,-58.5058,-2.2911,pluviometrica,
259000,CACHOEIRA MORENA,-59.3442,-2.1039,pluviometrica,
259004,RIO PRETO DA EVA,-59.6997,-2.7003,pluviometrica,
259005,RIO URUBÚ,-59.3608,-2.66,pluviometrica,
260000,TARUMÃ AÇU (INPA),-60.1167,-2.5833,pluviometrica,
260001,TARUMÃ AÇU (INPA),-60.0833,-2.6333,pluviometrica,
